Country,Country Code,Year,Male-Female ratio,Total suicide rate
Afghanistan,AFG,2004,0.566015727,6.684385300000001
Albania,ALB,2004,1.539476417,7.699329852999999
Algeria,DZA,2004,1.118297833,4.848769665
Andorra,AND,2004,2.772599151,5.362178802
Angola,AGO,2004,2.636720505,14.55467701
Argentina,ARG,1987,2.5772572730000003,7.797067999999999
Argentina,ARG,1966,3.233862499,7.916583
Argentina,ARG,1968,3.3901316739999996,10.74287
Argentina,ARG,1969,3.7507685360000003,10.480319999999999
Argentina,ARG,1970,3.154566584,10.29312
Argentina,ARG,1977,2.861354368,7.778694000000001
Argentina,ARG,1978,2.8443766310000003,7.920763000000001
Argentina,ARG,1980,2.975403,7.482319
Argentina,ARG,1986,2.7955146419999997,7.883313
Argentina,ARG,1982,3.273441825,7.042588
Argentina,ARG,1983,2.69967714,6.405541
Argentina,ARG,1984,3.178934607,6.581608999999999
Argentina,ARG,1979,2.70661492,6.838789
Argentina,ARG,1985,3.004803845,6.916961
Argentina,ARG,1967,3.4390531,9.915175999999999
Argentina,ARG,1999,4.375385917,6.705275
Argentina,ARG,1981,3.2678608989999995,8.257092
Argentina,ARG,1997,3.37620366,6.404548
Argentina,ARG,1988,2.8186549569999997,7.753856
Argentina,ARG,1990,2.877357033,6.826613
Argentina,ARG,1992,3.778150952,6.862964
Argentina,ARG,1993,4.031369864,6.864534
Argentina,ARG,1994,3.800803272,6.766797
Argentina,ARG,1995,3.80510109,6.497159
Argentina,ARG,1996,3.598924279,6.521007
Argentina,ARG,1991,3.3115239119999997,6.151737000000001
Argentina,ARG,1989,2.986551949,7.32608
Argentina,ARG,2000,4.4288990130000006,7.5780389999999995
Argentina,ARG,2001,3.961341267,8.426514
Argentina,ARG,2002,3.794609993,8.399384
Argentina,ARG,2003,4.128135483,8.574696000000001
Argentina,ARG,1998,3.8907086339999997,6.571886
Argentina,ARG,2004,4.0593526660000006,8.045732000000001
Armenia,ARM,2004,4.144052589,3.7415878769999997
Australia,AUS,1959,2.917857055,11.269219999999999
Australia,AUS,1958,3.102981275,12.51539
Australia,AUS,1957,2.641631207,12.24532
Australia,AUS,1956,2.7985633489999997,10.83826
Australia,AUS,1955,2.912951685,10.29923
